Brand,Category,Colour,Product Link,Main Image,Product Name,Current Price,,,,,,,,,,,
Sosander,Tops,Red,https://www.sosandar.com/petite-ivory-textured-longline-utility-shirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_crop_2402_85_s24sl004bn0004_85_120_1.jpg,Petite Ivory Textured Longline Utility Shirt,£49.00,,,,,,,,,,,petite ivory textured longline utility shirt
Sosander,Leggings & Jeggings,Black,https://www.sosandar.com/petite-black-white-contrast-trim-two-part-fit-flare-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2408_116_a24dk246bkwe01_116_247_1.jpg,Petite Black & White Contrast Trim Two Part Fit & Flare Dress,£79.00,,,,,,,,,,,petite black & white contrast trim two part fit & flare dress
Sosander,Dresses,Cream,https://www.sosandar.com/petite-brown-abstract-animal-print-tiered-hem-wrap-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_83_s24dj032bran01_83_131_1.jpg,Petite Natural Animal Print Midi Wrap Dress,£65.00,,,,,,,,,,,petite natural animal print midi wrap dress
Sosander,Jeans,Blue,https://www.sosandar.com/petite-mid-blue-wide-leg-jeans,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_25_s24od007be0007_s24bd013be0007_25_125_2.jpg,Petite Mid Blue Wide Leg Jeans,£59.00,,,,,,,,,,,petite mid blue wide leg jeans
Sosander,Trousers,Blue,https://www.sosandar.com/petite-azure-blue-kick-flare-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_26_s24ow085be0007_s24bw048be0007_26_057_1_1.jpg,Petite Azure Blue Kick Flare Trousers,£59.00,,,,,,,,,,,petite azure blue kick flare trousers
Sosander,Trousers,Cream,https://www.sosandar.com/petite-ivory-relaxed-fit-wide-leg-trousers,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2406_11_s24tj166grcv01_11_013_2.jpg,Petite Ivory Relaxed Fit Wide Leg Trousers,£55.00,,,,,,,,,,,petite ivory relaxed fit wide leg trousers
Sosander,Jumpsuits & Playsuits,Blue,https://www.sosandar.com/petite-mid-blue-zip-front-bootcut-denim-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2308_112_a23jd004be0038_112_039_rt_2_1.jpg,Petite Mid Blue Zip Front Bootcut Denim Jumpsuit,£89.00,,,,,,,,,,,petite mid blue zip front bootcut denim jumpsuit
Sosander,Skirts,Red,https://www.sosandar.com/petite-stone-tailored-pencil-skirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_62_-a23sw028eu0001_s24ow023eu0_005.jpg,Petite Stone Tailored Pencil Skirt,£45.00,,,,,,,,,,,petite stone tailored pencil skirt
Sosander,Tops,Blue,https://www.sosandar.com/petite-blue-stripe-tie-side-shirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_81_s24tw028best01_81_020_1.jpg,Petite Blue & White Stripe Tie Side Shirt,£55.00,,,,,,,,,,,petite blue & white stripe tie side shirt
Sosander,Dresses,Pink,https://www.sosandar.com/petite-pink-paisley-print-wrap-maxi-dress,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_09_a23dw140pkcv01_09_226_rt_1.jpg,Petite Pink Paisley Print Wrap Maxi Dress,£79.00,,,,,,,,,,,petite pink paisley print wrap maxi dress
Sosander,Tops,Purple,https://www.sosandar.com/petite-purple-floral-print-sheer-sleeve-shirt,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_07_s24tw068pefl01_07_086_1_1.jpg,Petite Purple Floral Print Sheer Sleeve Shirt,£49.00,,,,,,,,,,,petite purple floral print sheer sleeve shirt
Sosander,Jeans,Blue,https://www.sosandar.com/petite-mid-blue-wide-leg-pintuck-jeans,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2401_105_s24tj142mc0003_a23bd005be0007_105_007_2.jpg,Petite Mid Blue Wide Leg Pintuck Jeans,£59.00,,,,,,,,,,,petite mid blue wide leg pintuck jeans
Sosander,Tops,Blue,https://www.sosandar.com/petite-pastel-blue-sequin-faux-wrap-top,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_rt_130_a22tw001be0002_023_1.jpg,Petite Pastel Blue Sequin Faux Wrap Top,£59.00,,,,,,,,,,,petite pastel blue sequin faux wrap top
Sosander,Jumpsuits & Playsuits,Blue,https://www.sosandar.com/petite-navy-blue-spot-print-straight-leg-jumpsuit,https://cdn.sosandar.com/media/catalog/product/cache/0ad62aa88f50338ba969372be71afacb/w/e/web_2402_92_s24jw014blsp01_92_017_rt_1.jpg,Petite Navy Blue Spot Print Straight Leg Jumpsuit,£75.00,,,,,,,,,,,petite navy blue spot print straight leg jumpsuit
